prob size=10,trials=1000
threads,time(milliseconds)
1,40.8552
2,23.0692
3,14.1627
4,14.1127
5,9.53386
6,9.52809
7,9.48953
8,9.48509
9,7.74439
10,7.75617
11,7.76009
12,7.74961
13,7.71897
14,7.72002
15,7.71427
16,7.69559
17,7.77272
18,7.79917
19,7.80088
20,7.82467
21,7.81166
22,7.82652
23,7.82589
24,7.84207
25,7.82898
26,7.82278
27,7.83042
28,7.82519
29,7.82524
30,7.83364
31,7.82418
32,7.81328
