prob size=300,trials=1000
threads,time(milliseconds)
1,59.1716
2,31.5391
3,20.9189
4,16.0177
5,12.8308
6,10.8891
7,9.54534
8,13.0328
9,14.0197
10,12.7522
11,11.7049
12,10.771
13,10.0049
14,9.35664
15,8.76278
16,8.42618
17,11.1278
18,10.9665
19,10.9018
20,11.618
21,11.6204
22,11.0186
23,10.9232
24,10.6545
25,10.4316
26,10.0045
27,9.77456
28,9.66745
29,9.18755
30,9.00995
31,9.10999
32,8.5497
